Feature,Importance
Country_BG,47.75331558994498
year_2021,27.49581922678056
month_1,27.340312031621973
month_12,23.129204592978727
Country_IT_SICI,21.62546753110237
month_2,18.988699434061502
Country_IT_PRGP,16.925822402605704
Country_IT_CNOR,15.996263709067739
week_number_37,15.09519412008413
Country_IT_SUD,14.55750571246122
hour_6,14.219272450821691
Country_IT_CSUD,13.845128807311397
Country_IT_SACO_AC,13.80200170921427
week_number_35,13.673408141712656
week_number_36,13.339181228906666
Country_GR,13.098964255705058
Country_IT_SARD,12.968193383791705
hour_7,12.526832381705324
Country_RS,11.667543390316132
year_2015,11.447236240428747
Country_IT_NORD_CH,11.396490663313628
Country_IT_NORD_SI,11.360472737165551
Country_IT_NORD_AT,11.360088187097167
Country_IT_NORD_FR,11.2736504315007
week_number_34,10.861191745722719
week_number_38,10.80735057026463
month_3,10.380654576096022
hour_5,10.29659916456461
week_number_39,9.941701498034533
Country_HR,9.828076816951805
week_number_42,8.124823977692255
week_number_40,8.10197391471376
Country_IT_GR,8.004399240284105
week_number_47,7.912972369044694
week_number_41,7.868116736296573
Country_IT_FOGN,7.773797476815803
Country_IT_BRNN,7.771192456838158
week_number_31,7.75196015622574
hour_20,7.638585083994409
Country_SI,7.515167675637222
hour_19,7.512574193224953
week_number_27,7.215718506299354
year,7.203470880479603
hour_8,7.14357277632
week_number_33,7.048691532494275
week_number_32,6.859100765362031
Country_GB,6.475603519425285
week_number_28,6.161962537866595
Country_HU,6.159956832893151
week_number_48,6.0994804625642125
week_number_29,5.9643781694001685
week_number_30,5.804251984288829
year_2023,5.7253685300394945
hour_21,5.458936108842085
Country_PT,5.213540482740549
week_number_46,5.109250060293138
Country_ME,4.412461933746489
hour_4,4.349803852069591
Country_CH,4.315709967772947
Country_MK,4.223441456544161
week_number_43,4.219987673474655
Country_Combined_AT_DE_AT_LU,3.666263662279056
Country_FR,3.4853590019797416
week_number_26,3.268776505065648
hour_22,3.090716274374365
week_number_45,3.0574109885159735
hour_18,2.9824548737015357
day_of_week_6,2.6894138638778915
year_2018,2.5503496025657566
month_4,2.4722761122800314
day_of_week_3,2.3558966395480847
hour_9,2.138019766603707
Country_LV,1.8751984078460169
day_21,1.7308621132201258
week_number_24,1.6995578459656324
week_number_25,1.4318337681266897
day_22,1.2777964167114018
hour_23,1.207474595707093
day_of_week_2,1.0028356686251416
day_20,0.9430726795455234
day_16,0.938035016742464
day_6,0.8495284988619138
Country_SK,0.8145569344565112
day_26,0.7138335715442434
month_11,0.7016946749529809
day_15,0.6792147473379827
day_19,0.6652197598131159
Country_IT_NORD,0.6572068992853459
month,0.6169224018662136
day_23,0.6004091848018059
day_2,0.5850770615521528
Country_NL,0.5748839818893663
day_17,0.45891966400246564
year_2016,0.36089203033355094
day_18,0.32307374360114716
day_8,0.3219391085903074
week_number,0.29359563878440537
day_7,0.25879781962373133
day,0.07615151965501736
day_14,0.01180060751192884
gas,0.003493304197798426
hour_3,0.0019383171569254478
day_9,-0.0
nuclear,-0.0002892564091186305
year_2017,-0.0012725126238999187
biomass,-0.003960312568469807
day_11,-0.013091967085812832
Country_CZ,-0.014302806622606317
day_28,-0.09474068157886187
day_27,-0.10289338012497048
day_12,-0.11040877640642456
day_25,-0.11971593281910445
day_3,-0.12316631117367352
day_5,-0.12812278278950046
hour,-0.13444648277974475
day_13,-0.25002814476573854
day_4,-0.25732145403406625
Country_EE,-0.31942296625985267
day_10,-0.3848146026321186
day_1,-0.42535867948092326
day_of_week_1,-0.477759820548958
day_24,-0.6208036547560245
day_29,-0.6976186884953148
day_30,-0.9426377585077249
day_of_week_4,-1.0427603852868026
week_number_23,-1.2341580474747493
month_5,-1.3243321593378234
weekend,-1.4594756228695451
day_of_week,-1.6012091272851567
week_number_44,-1.882989493871235
day_of_week_0,-2.1595191341129265
Country_BE,-2.2724463508456276
hour_10,-2.464263253888373
hour_2,-2.67913201728908
day_31,-3.0172029978843513
hour_0,-3.281965283353452
day_of_week_5,-3.7165394478126377
hour_17,-3.755580536812248
week_number_22,-3.9106518644916317
week_number_19,-3.9435019319566873
week_number_18,-4.014189720353791
hour_1,-4.034226416597107
month_10,-4.048447035561564
week_number_14,-4.4057327087595635
week_number_15,-4.770766237811876
Country_DK_2,-4.801443252825147
hour_11,-5.557420914475217
month_6,-5.5599780746436975
week_number_17,-6.207535594542997
week_number_16,-6.588083875376879
Country_DK_1,-6.659875846985799
week_number_20,-7.40653912508373
week_number_21,-7.436577427101999
week_number_9,-7.61596057297532
hour_12,-7.869422380851162
week_number_10,-8.332838732178464
month_7,-9.213199413923872
week_number_6,-9.298063987116157
hour_16,-9.416138325126811
week_number_49,-9.694148993828668
Country_NO_2,-9.909037327075145
hour_13,-10.199642377404246
Country_SE_4,-10.572450740677388
week_number_50,-10.733443058994558
Country_FI,-11.047638622207533
week_number_5,-11.184430103165443
Country_NO_1,-11.421411144872206
hour_14,-11.564009502980923
year_2019,-11.595440359056758
month_8,-11.645090534676354
hour_15,-11.706351497056085
week_number_11,-11.80198184271991
Country_NO_5,-11.833493998862064
Country_ES,-12.100899263545358
week_number_3,-12.161732639552818
month_9,-12.375812484835686
week_number_4,-12.583823968362307
week_number_7,-12.902325051791887
week_number_13,-12.915710839109897
week_number_2,-13.115441178950952
week_number_51,-14.061997568398194
week_number_12,-14.145221728996988
week_number_1,-15.13132502693862
week_number_8,-15.3292830635975
Country_SE_3,-15.42814996482131
Country_NO_3,-19.07517320839989
Country_SE_2,-20.89309975465728
Country_SE_1,-21.413030072390875
Country_NO_4,-21.926377318483375
year_2020,-33.31869260094256
