Feature,Importance
Country_IT_SACO_DC,153.2431516992637
year_2022,123.47292869753004
Country_RO,106.82658737489733
Country_PL,36.73147502655517
Country_BG,32.43217225393617
year_2021,16.360169008365457
month_9,15.770323006973697
gas_year_2022,14.476220872513508
week_number_40,14.173134315779844
Country_IT_SICI,12.372798148800907
hour_7,12.369763550203166
week_number_39,12.093031143347938
week_number_48,11.965543839881628
hour_22,-11.84726289544912
Country_NO_5,-12.13327999319683
week_number_44,-12.819739493255963
Country_SE_4,-16.04927109056083
Country_NO_1,-16.986351490906127
hour_23,-17.35820856907906
Country_FI,-18.225883418250863
Country_SE_3,-22.618004266268166
biomass_year_2021,-26.272366634559802
Country_ES,-26.772077609616296
week_number_52,-30.4275821942445
Country_SE_2,-35.151869872466904
Country_NO_3,-35.94550187546763
year_2020,-37.19188348744603
Country_SE_1,-38.025030935915225
Country_NO_4,-39.975466573995085
biomass_year_2022,-83.14663542428265
